episode,step,50-ep-avg-reward,best-so-far,epsilon
1,43,-10.306493506493496,-10.306493506493496,0.9999835000000001
50,4620,-9.995851627322313,1.1020979020976593,0.9931180000000568
100,9374,-10.214184520374541,1.1020979020976593,0.9859870000001156
150,13132,-10.183009635193763,1.1020979020976593,0.9803500000001621
200,17818,-9.053411820006211,46.62629482071611,0.9733210000002201
250,22353,-10.220319376711211,46.62629482071611,0.9665185000002763
300,27447,-9.55212990663716,46.62629482071611,0.9588775000003393
350,32113,-10.196261330228191,46.62629482071611,0.9518785000003971
400,37024,-8.85848670768417,50.801476014759324,0.9445120000004579
450,42178,-10.2145256583994,50.801476014759324,0.9367810000005217
500,48050,-9.270678542260193,50.801476014759324,0.9279730000005944
550,53698,-9.701692465736908,50.801476014759324,0.9195010000006643
600,59760,-8.97943878874318,50.801476014759324,0.9104080000007393
650,66761,-9.430285177350607,50.801476014759324,0.899906500000826
700,72927,-9.978749403891149,50.801476014759324,0.8906575000009023
750,79648,-10.057783579866166,50.801476014759324,0.8805760000009855
800,86307,-9.023970754741102,50.801476014759324,0.8705875000010679
850,93401,-8.920573979892188,50.801476014759324,0.8599465000011557
900,101092,-7.954806429150304,50.801476014759324,0.8484100000012509
950,108615,-6.598746375636771,50.801476014759324,0.8371720000013436
1000,115847,-9.52766292688444,50.801476014759324,0.8263240000014331
1050,123805,-7.069095493518443,50.801476014759324,0.8143870000015316
1100,131171,-5.9959137126400375,57.91698113207476,0.8033380000016228
1150,139435,-7.041033182727834,57.91698113207476,0.7909420000017251
1200,147906,-7.594907615345253,57.91698113207476,0.77823550000183
1250,156861,-2.035695785961692,57.91698113207476,0.7648030000019408
1300,164663,-7.0751634536863275,57.91698113207476,0.7531000000020374
1350,172297,-6.649319780594539,57.91698113207476,0.7416490000021319
1350,172539,65.74416961130709,65.74416961130709,0.7413325000021345
1400,180633,-7.149520459946516,65.74416961130709,0.7291915000022346
1450,188365,-6.677085025951277,65.74416961130709,0.7175935000023304
1500,197536,-4.137636526922998,65.74416961130709,0.7038370000024439
1550,206316,-3.2083533652938674,65.74416961130709,0.6906670000025525
1600,215786,1.40140219583352,100.91863117870832,0.6764620000026698
1650,224568,-2.7929809175694698,100.91863117870832,0.6632890000027785
1700,233261,-0.9875177970273232,100.91863117870832,0.6502495000028861
1750,242068,-0.1897027159730356,100.91863117870832,0.6370390000029951
1800,250384,-3.216126565553493,100.91863117870832,0.624565000003098
1850,259625,2.059943425808379,100.91863117870832,0.6107035000032124
1900,268344,3.1322394211118594,100.91863117870832,0.5976250000033203
1950,277581,4.1859339930309245,100.91863117870832,0.5837695000034346
2000,287535,7.5975927289223355,100.91863117870832,0.5688385000035578
2050,296328,-1.587379241970649,106.64827586206913,0.5556490000036667
2100,305386,4.707028215872083,106.64827586206913,0.5420620000037788
2150,314011,6.908514421956946,109.0823529411793,0.5291245000038856
2200,322473,2.351760559721096,109.0823529411793,0.5164315000039903
2250,331197,9.953500996441257,111.68056537102763,0.5033455000040983
2300,340771,7.945548416718996,111.68056537102763,0.4889845000042168
2350,349951,13.58409361564711,111.68056537102763,0.4752145000043304
2400,359419,18.436819877766926,166.765891472872,0.4610125000044476
2450,369482,19.557841429798877,166.765891472872,0.44591800000457216
2500,378157,19.8548991309965,178.29293680297639,0.43290550000467953
2650,398759,16.024814140887663,180.97777777778086,0.40204900000493415
2700,407793,23.134964794192946,180.97777777778086,0.388498000005046
2750,417382,35.365810497128074,198.50201342282247,0.37411450000516466
2800,428733,59.020855098849026,205.69110320285174,0.35708800000530516
2850,439989,48.130648258014816,221.38181818182136,0.3402040000054445
2900,451706,67.71785181690724,233.87729083665712,0.3226285000055895
2950,463643,104.59456987085292,259.3151079136728,0.30472300000573727
3000,475531,149.85786002202641,348.8928838951282,0.2868910000058844
3050,487631,162.51834691457412,348.8928838951282,0.2687410000060342
3100,499754,129.8979337041961,348.8928838951282,0.25060300000618385
3150,511756,159.84214459594273,375.4222222222163,0.2326000000063324
3200,523856,269.6225192490924,505.3897810218943,0.21445000000648218
3250,535759,262.0172538341643,505.3897810218943,0.1965955000066295
3300,547859,302.12293413531665,530.937226277365,0.17844550000677928
3350,559959,369.0880938259618,631.8821705426317,0.16029550000692905
3400,572059,381.9437168607655,698.6545454545346,0.14214550000707882
3450,584159,410.0632067146429,698.6545454545346,0.12399550000721929
3500,595846,370.46000605839595,749.616382252545,0.1065115000072018
3550,607729,471.37624504693997,823.3388888888717,0.1
3600,619829,513.9939580995702,823.3388888888717,0.1
3650,631929,557.2880161405585,883.4371541501874,0.1
3700,644027,604.8065067196006,884.1160305343426,0.1
3750,656127,611.8870256155516,884.1160305343426,0.1
3800,668197,603.3316198426244,906.2714285714135,0.1
3850,680297,606.721150045357,906.2714285714135,0.1
3900,692388,611.6546036621381,906.2714285714135,0.1
3950,704488,603.7483134436977,906.2714285714135,0.1
4000,716588,540.1126348677113,906.2714285714135,0.1
4050,728688,580.6919643083372,906.2714285714135,0.1
4100,740788,588.3269077725942,906.2714285714135,0.1
4150,752888,646.975201174501,906.2714285714135,0.1
4200,764988,666.1783400016521,906.2714285714135,0.1
4250,782542,767.318175573369,906.2714285714135,0.1
4250,782932,492.3516483516272,906.2714285714135,0.1
4300,800004,736.80657467075,906.2714285714135,0.1
4350,817477,771.3919938071115,906.2714285714135,0.1
4400,834588,713.4659745842898,906.2714285714135,0.1
4450,851881,757.6905451005646,906.2714285714135,0.1
4500,869417,774.9849372820448,906.2714285714135,0.1
4550,886944,754.9594230842976,906.2714285714135,0.1
4600,904280,745.543120186622,906.2714285714135,0.1
4650,921670,770.4634443456006,906.2714285714135,0.1
4700,938852,767.4491772631571,906.2714285714135,0.1
